Gene Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8
CA5B	4.0223885	12.458575	13.861515	5.2908564	6.940126	2.357354	3.3018458	1.7605323
CA6	0.30045754	0.31518188	2.476721	0.27382478	6.1787677	0.6856847	1.2786084	1.0223848
CA7	7.074704	52.31962	27.203577	18.633955	28.285273	51.7474	16.22778	32.592724
CA8	1.8763508	2.2171552	2.0575893	2.2226334	3.1469111	0.6785883	2.5650434	1.3113806
CA9	15.991746	8.366153	29.591059	27.022678	24.599434	17.061941	27.481768	21.072027
CABC1	65.81463	54.011806	844.76025	59.025578	268.70828	56.11394	1077.3275	64.83705
CABIN1	59.85901	71.42029	57.07858	82.87025	68.8883	66.542984	80.91902	57.479877
CABLES1	4.1779184	3.5760536	1.3084732	1.3505827	1.375013	6.048531	2.518535	2.6367712
CABP4	2.523614	8.763136	19.541138	14.579552	10.118673	8.548632	1.1548977	3.2512553
CABYR	33.76166	27.488419	19.65444	20.44864	34.478992	39.435616	31.133749	34.046104
CACHD1	55.892456	83.20473	29.248348	1.1077309	53.037537	77.795525	41.557446	52.19632
CACNA1A	8.738834	0.84029454	0.7858287	7.6700487	0.6508023	7.783545	7.283301	7.136054
CACNA1B	1.4699322	1.5642476	1.4056542	0.93522114	2.1484153	2.1990316	2.7906163	0.9419414
CACNA1C	3.3869646	11.598341	8.427853	16.920015	17.91314	6.717203	12.55752	9.05001
CACNA1D	33.909927	29.613035	22.46791	12.840153	36.38078	25.643486	32.57989	35.7656
CACNA1E	1.4284836	1.313099	1.2577302	1.6064851	2.3408282	1.2326723	2.2948015	1.8936437
CACNA1F	1.8856546	1.4089257	3.6224167	1.6267724	1.5859321	2.0080247	1.4764371	1.426158
CACNA1G	6.310855	17.928738	0.4325757	1.096772	0.6861989	2.9859939	0.5942349	2.5952487
CACNA1H	3.8160188	2.7604232	3.4393804	3.237582	3.5198145	3.2784014	1.4549923	3.6802082
CACNA1I	6.619496	18.109837	6.234469	18.701927	2.796143	17.041801	8.12237	8.586226
CACNA1S	12.041997	4.6827455	136.77533	6.6611686	49.47305	24.810265	240.33376	15.105499
CACNA2D1	12.141713	24.741842	16.40516	14.698659	17.924417	12.894641	17.881958	3.5940943
CACNA2D2	33.353317	58.74964	8.216103	9.717372	22.120773	62.403378	15.314844	50.477623
CACNA2D3	17.252823	21.795704	10.906302	21.87423	23.13126	73.21416	3.4891772	106.5155
CACNA2D4	11.34952	13.955976	20.971382	18.399004	18.026955	11.617396	7.559876	15.839655
CACNB1	30.51106	8.557424	147.85306	4.5981684	70.396355	32.319508	182.7765	4.3683324
CACNB2	0.6764527	10.643844	10.391092	9.417386	0.4406486	13.626563	12.877354	5.604677
CACNB3	33.295223	53.063232	11.417688	6.5885096	71.875694	31.321547	45.71661	43.47405
CACNB4	37.79462	23.662258	9.336748	10.730462	16.290205	45.59026	28.513798	68.68227
CACNG1	7.2175646	16.763487	81.86062	6.555068	13.379817	2.6400025	45.465237	0.78531486
CACNG2	17.724554	10.548296	6.4440303	5.2105103	3.0441184	22.996101	5.246507	23.076897
CACNG3	2.704475	35.11092	6.585822	1.4491127	3.0441163	4.6829653	2.551724	1.6432556
CACNG4	4.2578764	36.239815	3.398049	3.645716	1.9901474	6.556993	1.9003613	1.4498807
CACNG5	20.72288	24.521132	20.763866	31.345318	29.678717	34.451447	16.991531	22.700464
CACNG6	129.4219	106.26208	156.67508	71.42733	118.38095	75.243256	116.87537	144.61255
CACNG7	14.861656	26.246223	14.489443	11.591091	4.5063443	33.314716	11.822162	19.519135
CACNG8	10.815522	4.200157	0.82014114	5.24907	10.245418	13.630072	2.5256085	6.00015
CACYBP	224.3066	351.89386	134.05757	249.95137	217.45671	496.63812	128.09442	441.95926
CAD	9.714951	2.841711	0.9066998	2.3328812	10.190434	7.035728	9.539119	1.3536198
CADM1	224.41783	418.63956	34.42328	56.653442	207.61775	595.62604	131.42775	538.664
CADM3	27.054207	41.59154	20.70857	25.985973	35.5725	87.06935	25.033775	102.36422
CADM4	5.456771	7.5003695	3.0781767	2.1684268	2.3137977	2.3442376	1.7586648	2.4636507
CADPS	28.289324	67.178505	0.9153735	0.82074386	4.814813	199.43776	0.7030198	211.16792
CADPS2	97.982544	95.65483	22.593365	39.81523	193.95236	65.86705	111.38591	20.145735
CALB1	21.892656	98.51316	0.5035091	10.40548	7.5221047	13.428001	3.868807	2.8091502
CALCA	11.300985	21.439266	13.343265	2.2714577	1.9481814	3.8205378	4.5388575	12.66137
CALCB	2.1825585	26.815104	14.728463	6.5835023	7.8436317	18.09215	15.389719	43.187458
CALCOCO1	204.06499	213.88072	223.48691	125.30023	271.68256	206.8287	288.9795	221.734
CALCOCO2	32.863873	23.89241	55.364914	38.771763	12.192467	32.19812	29.967535	17.698183
CALCR	1.9535291	15.4527235	4.106741	0.5893194	1.6194746	1.6978613	3.0183895	0.9091541
CALCRL	3.6838298	24.809376	40.08326	23.601807	44.817245	27.94303	23.194544	15.807521
CALD1	62.233765	57.98	63.05386	28.606373	103.80078	69.367935	94.4514	41.87961
CALHM1	21.116358	35.447556	32.17392	34.73492	23.000189	47.93118	40.951885	27.938072
CALR	72.460754	69.3306	35.79848	100.89804	106.02962	29.09037	39.59377	36.778786
CALR3	3.9799767	1.3910184	2.2780633	0.9663827	2.2618558	1.2296557	5.425483	4.175514
CALY	29.700338	197.28867	3.5852754	5.45337	1.5782001	222.3573	1.2569779	158.96075
CAMK1	26.162104	39.790047	21.484776	78.10938	36.38888	43.568172	22.141094	26.762884
CAMK1D	11.000654	20.615374	21.23083	23.773827	24.572414	18.583889	10.480708	17.711279
CAMK1G	0.8444503	2.8891459	2.0737705	0.90088737	1.1377053	4.3412595	1.0395688	7.1406274
CAMK2A	1.9112067	1.5935699	9.484411	5.008112	3.796409	4.0352635	1.4360399	0.84531343
CAMK2D	44.439125	68.1606	36.49307	55.345562	68.92443	71.02011	47.912495	54.675568
CAMK4	14.6586	29.343311	8.525289	27.07537	25.838419	24.028881	10.234448	12.64787
CAMKK1	3.865668	9.595892	3.9864664	4.941689	12.894032	19.253046	8.984628	3.5598543
CAMKK2	19.826204	22.679955	8.758639	3.454083	26.038916	27.946774	5.6934485	12.940919
CAMKV	45.417732	69.55098	16.534645	20.352186	20.462542	59.165	18.921362	40.407524
CAMLG	177.83524	281.5377	173.65079	173.36809	235.05223	503.82983	319.2299	458.52783
CAMP	2.5750291	2.007744	5.7778153	3.610987	23.371311	2.3927631	41.66388	2.0475922
CAMTA1	142.33975	392.50302	29.066532	14.615531	34.271442	639.2097	41.468838	631.26495
CAMTA2	63.45633	72.61779	49.61164	66.078316	88.854904	84.82004	66.64976	66.363045
CAND1	98.93851	124.80357	91.621635	133.95604	150.96939	119.2621	70.966095	137.04285
CAND2	65.0679	90.10882	225.58	15.49488	104.495026	100.150604	361.5042	72.881256
CANT1	10.99787	18.511482	1.011622	4.66003	5.691841	4.7244782	4.8431683	15.349287
CANX	614.64233	843.3379	368.74698	434.0398	1191.8385	864.50824	479.65503	769.04156
CAP1	164.00581	249.01807	140.74901	418.9048	251.16978	247.52946	111.72662	232.39136
CAP2	25.030201	85.37986	335.31876	18.574017	84.256355	214.86044	438.86786	229.2232
CAPG	50.52939	32.089684	91.21499	199.93156	130.1058	28.444397	54.110622	26.500807
CAPN1	33.68117	48.425953	128.68954	68.97382	105.010895	55.022495	73.644585	54.085064
CAPN10	35.40285	48.41172	7.9221787	53.686928	22.980513	25.247787	33.83465	19.585728
CAPN11	12.023423	7.370391	16.287971	6.5976715	2.1400287	1.7103411	7.322354	9.031058
CAPN12	8.934678	8.574986	31.020971	41.325073	54.354935	7.622419	20.425863	20.149036
CAPN13	2.696564	2.0610976	4.105784	4.5696235	13.347951	3.0768147	5.5584626	1.2675403
CAPN14	1.1840659	0.5448445	61.275787	15.470154	96.84264	0.86012954	11.291584	1.7849727
CAPN2	433.0677	377.3264	718.11334	258.4172	1714.001	347.8715	981.5357	348.8748
CAPN3	494.19116	513.32117	352.2836	53.740936	113.46918	275.72714	607.9677	222.44131
CAPN5	13.721498	13.965127	13.117866	10.429992	43.5085	30.083775	3.8694024	16.729387
CAPN6	1.2683065	1.5574381	37.60959	9.041042	59.134888	1.3671736	102.420204	1.9039494
CAPN7	40.83572	51.025677	47.6371	53.96139	67.90429	47.939972	60.802826	50.35524
CAPN8	8.362882	10.361933	12.928227	7.432578	24.390415	14.996312	84.15952	14.946311
CAPN9	18.102245	5.5498176	1.7693107	1.8114117	42.389194	4.544762	41.12855	1.3635527
CAPNS1	309.2863	449.65378	694.4302	374.18652	784.5533	456.16946	530.9469	478.2862
CAPRIN2	4.1059833	3.385097	2.118337	3.6012044	9.186337	21.849255	13.796594	18.469896
CAPS	91.63172	67.492195	36.42408	53.844074	96.7207	61.045322	107.066925	79.20728
CAPZA1	384.595	508.1138	476.64523	1289.8373	801.4738	467.89655	283.5096	445.2921
CAPZA2	7.3740606	6.660807	5.931029	11.555596	5.7633705	9.438959	8.072894	0.53626186
CAPZA3	7.8953295	2.4891334	7.2014785	0.34789628	0.49217275	7.3984165	1.0765138	1.9514679
CAPZB	248.599	340.46887	457.616	539.51044	383.8539	315.5607	391.87054	274.02322
CARD10	2.4029272	4.122318	3.3712466	3.073437	4.023202	4.036257	3.767036	2.4228942
CARD11	4.310349	6.8554573	9.236447	66.88565	7.948704	5.7698092	12.560143	7.5517488
CARD14	18.917892	14.408371	33.29164	10.338638	21.379019	9.834911	13.672239	13.343794
CARD16	15.006833	28.009378	26.305866	57.628017	40.55021	9.669858	18.120714	10.345941
CARD18	9.794997	8.751899	22.732504	9.622733	18.06842	14.682358	16.450878	2.4158204
CARD6	15.668254	24.835093	51.89799	29.504473	87.80019	19.550268	34.29156	13.083961
CARD8	103.05046	99.96528	60.291798	223.13205	67.04181	72.231964	63.65669	48.740013
CARD9	18.868013	20.765503	3.5106726	3.2811646	21.384645	12.903946	10.970173	3.1208344
CARHSP1	6.08034	6.2359324	7.4137373	6.680169	6.848971	7.5863113	6.32258	4.266022
CARM1	51.34682	44.58273	82.83641	40.482838	60.899525	59.024227	91.99022	47.936096
CARS	2.13572	2.18436	11.889505	4.009634	3.2244513	3.0512855	2.4415386	7.072009
CARS2	79.37885	66.93622	81.40839	118.275116	120.149414	67.68909	118.1715	46.066914
CARTPT	23.627172	40.020386	1.4672884	7.4292593	14.19596	39.49368	7.7139125	4.944945
CASC3	251.88332	259.36975	107.851105	128.89503	148.82478	256.68408	162.3775	163.89682
CASC5	14.628324	9.470838	13.9082775	53.12303	16.616129	16.033558	4.5993705	10.91666
CASK	33.500637	39.864628	15.624262	26.913975	34.461502	33.21393	25.094471	29.692976
CASKIN1	67.84087	159.8762	4.491098	4.356989	4.7800093	205.78539	2.964712	95.20863
CASP1	27.240746	30.227072	32.73281	78.18396	39.150417	10.440898	20.09784	14.202893
